year,pieces,descr,set
2013,286.0,Highway Speedster,"Set: "
1998,121.0,Cyber Challenge,"Set: "
2005,1679.0,Sandcrawler,"Set: "
1987,16.0,"Giraffe<br>-Inverted Slope Bricks<br>-Hinges, Tilt Bearings",Sets:<br>-
2011,337.0,Witch Doctor,"Set: "
2002,118.0,Twin-Pod Cloud Car<br>-Nitro Burner,Sets:<br>-
1995,1066.0,Control Center / Control II,"Set: "
1991,2195.0,Giant Lego Topic Set,"Set: "
1979,4.0,Percy Pig's Wheelbarrow,"Set: "
1998,150.0,Police Chase,"Set: "
2015,172.0,Flinx's Ultimate Phoenix,"Set: "
2005,264.0,Fire Station,"Set: "
1980,5.0,"Crossing, Gray 4.5v<br>-Crossing, Electric Rails Gray 12v",Sets:<br>-
1968,401.0,Super Train Set,"Set: "
1992,44.0,Beach Bandit,"Set: "
1982,135.0,Post Office,"Set: "
1984,48.0,Space Dart I,"Set: "
2013,242.0,The Council of Elrond,"Set: "
1989,14.0,"Lego Motion 1B, Turbo Force<br>-Mouse",Sets:<br>-
2016,30.0,Racer<br>-Cyberman Fun Pack,Sets:<br>-
1999,49.0,Dumper<br>-Landspeeder,Sets:<br>-
2009,366.0,Toa Mata Nui,"Set: "
1955,30.0,Small Store Set,"Set: "
1993,55.0,Celestial Sled,"Set: "
2012,199.0,Wolverine&#039;s Chopper Showdown,"Set: "
2015,59.0,Burnard<br>-Vampos<br>-Jinky<br>-LEGO® DIMENSIONS™ Nya Fun Pack<br>-LEGO® DIMENSIONS™ Eris Fun Pack,Sets:<br>-
2007,82.0,Duplo Large Brick Box<br>-Winter Royal Stables,Sets:<br>-
2011,142.0,Tokyo Pit Stop,"Set: "
2014,33.0,The Piece of Resistance<br>-Monthly Mini Model Build June 2014 - Jet-Ski,Sets:<br>-
2015,196.0,Throne of Ultron,"Set: "
2012,27.0,Cole ZX's Car<br>-Mirkwood Elf Guard<br>-Monthly Mini Model Build December 2012 - Moose<br>-Monthly Mini Model Build August 2012 - Shark,Sets:<br>-
1979,342.0,Galaxy Explorer<br>-Galaxy Explorer,Sets:<br>-
2016,81.0,Mighty Micros: Captain America vs. Red Skull,"Set: "
1978,23.0,Police Patrol,"Set: "
2006,212.0,TIE Interceptor,"Set: "
2010,40.0,Racing Truck,"Set: "
2016,180.0,MSC Ship<br>-4 x 4 Off Roader,Sets:<br>-
1998,94.0,Commentator and Press Box<br>-Desert Island,Sets:<br>-
1990,219.0,Motorized Universal Building Set,"Set: "
2001,266.0,Fantastic Flyers &amp; Cool Cars Bucket,"Set: "
2010,416.0,Ferocious Creatures,"Set: "
2012,415.0,Seaside House,"Set: "
2002,200.0,Fun with Bricks {small red bucket}<br>-Small Creator Bucket<br>-Small Blue Bucket<br>-Make-believe Bucket<br>-Small Blue Bucket,Sets:<br>-
2013,285.0,HMV 2013 Production<br>-Jet Rocka,Sets:<br>-
2003,176.0,Cargo Crane<br>-Saturn V Moon Mission,Sets:<br>-
2016,237.0,Lance&#39s Mecha Horse,"Set: "
1981,391.0,Basic Set,"Set: "
1991,90.0,Cabin Cruiser<br>-Diesel Daredevil,Sets:<br>-
2003,14.0,Advent Calendar 2003 Creator (Day 13) Robot,"Set: "
1992,12.0,Light and Transparent Bricks,"Set: "
2015,813.0,Skyra's Mysterious Sky Castle,"Set: "
1976,21.0,Fork Lift,"Set: "
2002,146.0,Helicopter,"Set: "
2009,412.0,Robo Attack,"Set: "
2015,163.0,Hailfire Droid,"Set: "
1975,110.0,London Bus,"Set: "
2001,456.0,Manas,"Set: "
2009,10.0,Advent Calendar 2009 City (Day  2) Snowman,"Set: "
1994,24.0,Snowmobile<br>-Snow Scooter<br>-Tires and Spoked Hubs<br>-Axles - Long,Sets:<br>-
1997,9.0,Sabah Promotional Set: Boat<br>-Sabah Promotional Set: Aeroplane<br>-Sabah Promotional Set: Aircraft<br>-Sabah Promotional Set: Toucan<br>-Sabah Promotional Set: Whale<br>-Small Santa Claus<br>-Christmas Set<br>-Lamps and Fittings,Sets:<br>-
2003,221.0,Takua and Pewku<br>-Robo Technology Set [Serial Cable]<br>-Robo Technology Set [USB Cable],Sets:<br>-
1955,20.0,2 x 8 & 2 x 10 Bricks<br>-4 x 4 Corner Bricks,Sets:<br>-
2006,100.0,Flags and Posts,"Set: "
2009,644.0,LEGO Build & Play (Red Tub),"Set: "
2016,20.0,Cookie The Superstar,"Set: "
1997,106.0,Bank<br>-Gyro Copter,Sets:<br>-
1987,327.0,Robot,"Set: "
1985,4.0,Digger Bucket Assembly<br>-Shock Absorbers<br>-Four TECHNIC Shocks,Sets:<br>-
1973,111.0,Tanker,"Set: "
1986,256.0,Guarded Inn,"Set: "
2012,385.0,Hulk&#039;s Helicarrier Breakout,"Set: "
2000,96.0,Dust + Lava + Swamp [8509 + 8510 + 8513],"Set: "
1987,101.0,Viking Voyager,"Set: "
2013,1146.0,Story Starter Core Set,"Set: "
2016,4639.0,Firehouse Headquarters,"Set: "
2015,1202.0,Ultra Agents Ocean HQ,"Set: "
1973,45.0,Tug<br>-Red Bricks<br>-White Bricks<br>-Blue and Yellow Bricks,Sets:<br>-
2002,28.0,Flash Turbo<br>-Star Burst/Star Strike<br>-Kohrak Va<br>-Lehvak Va,Sets:<br>-
1981,181.0,Silja Line Ferry,"Set: "
1993,103.0,Dragsters,"Set: "
2016,69.0,Jamzy,"Set: "
2002,38.0,TECHNIC Gear Wheels,"Set: "
1987,82.0,Police Rescue Boat,"Set: "
2015,1218.0,24 Hours Race Car,"Set: "
2004,22.0,Sunshine Picture Stand,"Set: "
2007,582.0,Crab Crusher,"Set: "
2011,265.0,Deep Sea Raider,"Set: "
2003,218.0,Slammer Rhino,"Set: "
2009,569.0,Anakin's Y-wing Starfighter,"Set: "
2009,187.0,Ferrari Victory<br>-Tuma,Sets:<br>-
2012,144.0,Life of George II<br>-Stephanie’s Cool Convertible<br>-Agent Mater’s Escape,Sets:<br>-
2000,48.0,Stella and the Fairy,"Set: "
2012,258.0,Raptor Chase,"Set: "
2016,77.0,Knighton Battle Blaster<br>-Finn,Sets:<br>-
1999,228.0,Advent Calendar 1999,"Set: "
2012,507.0,Fire Plane,"Set: "
2005,52.0,Dragon Pod,"Set: "
1976,50.0,Lufthansa Double-Decker,"Set: "
2003,49.0,Little Garden Fairy,"Set: "
1977,25.0,"Chain Links, Small","Set: "
2002,16.0,Ultralight Flyer (Kabaya Promotional)<br>-Helicopter ANA Promotional Set<br>-Coca-Cola Light<br>-Ultralight Flyer,Sets:<br>-
2014,75.0,Duplo Creative Building Cube<br>-Digger<br>-Stinger Duel,Sets:<br>-
2002,6.0,Coca-Cola Referee<br>-Coca-Cola Hotdog Girl<br>-Coca-Cola Vending Machine<br>-Caterpillar Hub and Tread (Set of 2 treads 4 Hubs),Sets:<br>-
2013,40.0,Ripslinger's Air Race<br>-Robin and Redbird Cycle<br>-Fire Speedboat<br>-Summer Scene<br>-Monthly Mini Model Build January 2013 - Igloo,Sets:<br>-
1982,29.0,Petrol Station,"Set: "
1991,49.0,Basic Building Set Trial Size,"Set: "
1996,97.0,Crystal Crawler,"Set: "
2013,416.0,Laval's Royal Fighter,"Set: "
1969,39.0,"34 sloping profile bricks, including profile peak bricks, Red<br>-34 sloping profile bricks, including profile peak bricks, Blue",Sets:<br>-
2012,312.0,Police Dog Van,"Set: "
2004,299.0,Spider-Man&#039;s Train Rescue,"Set: "
2004,400.0,Burlington Northern Santa Fe Locomotive,"Set: "
1966,23.0,"Slopes and Slopes Double 2 x 4, Red (System)<br>-Slopes and Sloped Double 2 x 4, Blue (System)",Sets:<br>-
2007,28.0,Fireman's Car<br>-Yellow/Black Racer<br>-Advent Calendar 2007 City,Sets:<br>-
2006,5.0,Advent Calendar 2006 City (Day 13) Street Cleaner<br>-Advent Calendar 2006 City (Day  1) Construction Worker<br>-Advent Calendar 2006 City (Day 19) Mechanic<br>-Advent Calendar 2006 City (Day  7) Doctor with bag,Sets:<br>-
2010,24.0,Advent Calendar 2010 City<br>-Advent Calendar 2010 Kingdoms<br>-Sea Jet,Sets:<br>-
1992,190.0,Surf N' Sail Camper,"Set: "
2004,1080.0,"AT-AT, blue box","Set: "
2007,232.0,General Grievous Starfighter,"Set: "
2005,552.0,The Durmstrang Ship,"Set: "
2007,38.0,Life Guard - Quick Magic Box Promotional<br>-Airplane,Sets:<br>-
2002,387.0,Championship Challenge II<br>-Championship Challenge II - L'Equipe de France Promo Edition,Sets:<br>-
2003,110.0,Little Creations,"Set: "
2016,86.0,First Order Battle Pack,"Set: "
2015,906.0,Deep Sea Operation Base,"Set: "
1997,261.0,Blaze Brigade,"Set: "
2007,1025.0,Combine Harvester,"Set: "
1987,200.0,XT Starship,"Set: "
2014,39.0,Peter Pan's Visit<br>-My First Police Set<br>-My First Shop<br>-Arctic Scout<br>-Macaw&#039;s Fountain<br>-Jungle Accessory Set,Sets:<br>-
2009,313.0,Shipwreck Hideout,"Set: "
2008,269.0,Ferrari F1 Truck 1:55,"Set: "
2010,651.0,LEGO Building Fun,"Set: "
2013,655.0,Worriz&#39;s Combat Lair<br>-Battle at the Black Gate,Sets:<br>-
2007,16.0,Small Wide Tire & Hub (Pack of 8 each),"Set: "
1980,784.0,Inter-City Passenger Train,"Set: "
1999,90.0,Milk Delivery Truck - Tine<br>-Retro Buggy<br>-Loader - Dozer<br>-The Loader-Dozer,Sets:<br>-
1996,711.0,Red Beard Runner,"Set: "
2007,6.0,Advent Calendar 2007 Belville (Day 17) Frog Book and Jewel Case<br>-Advent Calendar 2007 Belville (Day  5) Cat<br>-Advent Calendar 2007 City (Day 12) Hand Truck and Load<br>-Mango - Hong Kong Lego Show Promotional<br>-Castle Collection US version<br>-Complete Aqua Raiders Collection<br>-Ultimate Firefighter Collection<br>-Humans vs. Robots Battle Machine Collection<br>-Toa Mahri Collection<br>-Barraki Collection,Sets:<br>-
2011,34.0,Small Satellite<br>-The Lab<br>-Guido<br>-ADU Walker<br>-Speed Boat,Sets:<br>-
1966,9.0,Trees and Bushes<br>-JUMBO Pull Toy,Sets:<br>-
2009,441.0,Hyperspeed Pursuit,"Set: "
2012,42.0,Snake Battle<br>-Toxic Reapa<br>-Stringer,Sets:<br>-
1977,248.0,Texas Rangers,"Set: "
2015,137.0,Spider-Man™ Hideout,"Set: "
1981,13.0,"Battery Cable Kit: 12 Connectors, 3m Cable","Set: "
1986,11.0,Mayor's Car,"Set: "
1997,158.0,Whirling Time Warper,"Set: "
2004,75.0,Stylin' Stationery Set<br>-Jungle Crasher,Sets:<br>-
1999,14.0,Prop Plane<br>-Rotor Head<br>-Pulleys and Rubber Belts<br>-Assorted Pulleys,Sets:<br>-
2010,584.0,Western Train Chase,"Set: "
1988,46.0,Basic Building Set Trial Size<br>-Monorail Accessory Track,Sets:<br>-
2012,13.0,"Advent Calendar 2012, City (Day 11) Firefighter's ATV without Wheels<br>-Advent Calendar 2012, City (Day 24) Santa on Snowmobile<br>-Read & Build Let's Go Vroom<br>-Advent Calendar 2012, Star Wars (Day 10) - AT-AT Walker<br>-Advent Calendar 2012, Star Wars (Day 1) - Gungan Sub",Sets:<br>-
2005,572.0,Police Station [Lighted Figure],"Set: "
2004,688.0,TIE Fighter Collection,"Set: "
2007,629.0,Skeleton Ship Attack,"Set: "
2010,139.0,Happy Holidays - The Christmas Game,"Set: "
2010,60.0,Duplo Basic Bricks - Large<br>-Mini Dumper<br>-Minifigure Series 1 (Box of 60)<br>-Minifigure Series 2 (Box of 60),Sets:<br>-
2015,96.0,Kopaka - Master of Ice<br>-LEGO® DIMENSIONS™ The Simpsons™ Level Pack<br>-Carnage's Shield Sky Attack,Sets:<br>-
1988,101.0,Saturn Base Main Team (Crater Crawler),"Set: "
1974,62.0,Rescue Helicopter,"Set: "
1981,173.0,All-Terrain Vehicle,"Set: "
2004,445.0,Aircraft,"Set: "
2006,341.0,Science & Technology Base Set,"Set: "
1995,109.0,Small Freestyle Bucket,"Set: "
1958,16.0,16 Road Signs,"Set: "
2003,319.0,Wild Windup,"Set: "
2004,8.0,Advent Calendar 2004 Clikits (Day 12) Necklace<br>-Advent Calendar 2004 Clikits (Day 19) Picture Frame<br>-LEGO Japan Snail,Sets:<br>-
2009,237.0,Thunder Driller,"Set: "
1998,248.0,Planetary Prowler,"Set: "
2014,17.0,"Advent Calendar 2014, Friends (Day 10) - Friends Kitchen Accessories<br>-Advent Calendar 2014, Friends (Day 17) - Holiday Fireplace<br>-Advent Calendar 2014, Friends (Day 24) - Present with Skates, Camera<br>-Ice Prison",Sets:<br>-
2004,271.0,Fire Command Craft,"Set: "
1958,6.0,Six Trees and Bushes<br>-Traffic Police Set,Sets:<br>-
2008,199.0,Dune Buggy,"Set: "
2015,64.0,Poe&#39s X-wing Fighter,"Set: "
1998,160.0,Connectors & Bushings,"Set: "
1996,687.0,Fort Legoredo,"Set: "
2011,72.0,Mini Santa Set,"Set: "
1992,47.0,Octan Racer,"Set: "
1996,105.0,Hospital Ward,"Set: "
1969,8.0,8 Straight 12V Conducting Rails<br>-8 Curved 12V Conducting Rails,Sets:<br>-
2008,447.0,Coast Guard Helicopter and Life Raft,"Set: "
1985,530.0,Basic Building Set,"Set: "
1976,120.0,Farm Vehicle and Animals,"Set: "
2008,272.0,Cargo Copter,"Set: "
2009,20.0,LEGO Smart Kit,"Set: "
1990,23.0,Black Racer,"Set: "
2009,159.0,Santa Claus in the Snow,"Set: "
2004,170.0,Nidhiki,"Set: "
2014,58.0,Flain<br>-CHI Cragger,Sets:<br>-
2000,59.0,Bike Burner,"Set: "
2008,510.0,Desert Hammer,"Set: "
2002,119.0,Special Elements for Cities and Transportation Set,"Set: "
2013,115.0,Christmas Tree Stand,"Set: "
1998,107.0,Rig Racers,"Set: "
1995,280.0,F1 Hauler,"Set: "
1992,185.0,Basic Set,"Set: "
1998,25.0,Water Spider<br>-Go! LEGO Shogun<br>-Polybag<br>-Solo Sub,Sets:<br>-
2005,76.0,Viking Warrior challenges the Fenris Wolf<br>-Santa's Sleigh (Legoland California),Sets:<br>-
1982,15.0,Gear Wheel Assortment,"Set: "
2002,629.0,Blacksmith Shop,"Set: "
2014,8.0,"Advent Calendar 2014, Friends (Day 21) - Radio and Cell Phone<br>-Advent Calendar 2014, Friends (Day 22) - Large Present<br>-Advent Calendar 2014 City (Day 9) Handcart with Bread<br>-Advent Calendar 2014 City (Day 13) Burglar with Bag and Flashlight<br>-Advent Calendar 2014 City (Day 2) Mailbox with Green Frog<br>-Wiley Fusebot<br>-The Collector - San Diego Comic-Con 2014 Exclusive<br>-Crug",Sets:<br>-
2014,271.0,LEGOLAND Entrance with Family,"Set: "
2004,17.0,Advent Calendar 2004 Creator (Day 7) Angel Ornament,"Set: "
1999,79.0,Helicopter,"Set: "
1991,388.0,Rock Island Refuge,"Set: "
1985,1534.0,Teachers Resource Set,"Set: "
1966,84.0,Curved and Round Bricks (The Building Toy),"Set: "
1975,55.0,Mobile Crane and Waggon,"Set: "
1959,21.0,"1 x 2 and 3 x 2 Sloping Bricks, Red<br>-1 x 2 and 3 x 2 Sloping Bricks, Blue",Sets:<br>-
1968,123.0,Warehouse,"Set: "
2006,234.0,Gargoyle Bridge,"Set: "
1999,262.0,Jeep,"Set: "
2005,111.0,Viking Boat against the Wyvern Dragon,"Set: "
1998,92.0,Spy Runner<br>-RoboSports,Sets:<br>-
1988,16.0,Lego TC logo Starter Pack,"Set: "
2003,103.0,Quick Fix Station,"Set: "
1994,192.0,Hovercraft,"Set: "
2014,256.0,Town Master<br>-Rogon's Rock Flinger,Sets:<br>-
2003,87.0,Millennium Falcon - Mini<br>-Helicopter<br>-H.O.T. Blaster Bike,Sets:<br>-
1999,499.0,Mission Control,"Set: "
1996,175.0,Coastal Cop Buggy / Miami Police Patrol,"Set: "
1967,4.0,Switch Track - 1 Right and 1 Left,"Set: "
1979,177.0,Bus Station<br>-Space Command Center (Craterplate version)<br>-Command Centre (Center),Sets:<br>-
2004,58.0,Knight Bus - Mini<br>-LEGO Heart (Legoland California),Sets:<br>-
2007,214.0,Lobster Strike,"Set: "
2010,229.0,Sand Castle - Ambassador Class 2010 (LLCA Ambassador Pass Exclusive),"Set: "
2011,63.0,Jetbug<br>-Fishing Boat,Sets:<br>-
1971,62.0,Low-Loader and Crane,"Set: "
2006,4.0,Police Patrol<br>-Airport Value Pack (TRU Exclusive)<br>-Lego Firemen Bundle<br>-Advent Calendar 2006 City (Day  5) Hand Truck and Luggage<br>-X-Pod Creator Collection<br>-Mini Pods Collection,Sets:<br>-
2007,574.0,Jedi Starfighter with Hyperdrive Booster Ring,"Set: "
1988,38.0,Castle Mini Figures<br>-Flags and Fences,Sets:<br>-
2006,375.0,Lava Chamber Gate,"Set: "
2010,378.0,Lunar Limo,"Set: "
1992,36.0,City People,"Set: "
2013,194.0,Iron Man: Extremis Sea Port Battle,"Set: "
1957,5.0,International Flags<br>-5 Danish Flags,Sets:<br>-
1996,21.0,Boat with Armour<br>-Crossbow Boat,Sets:<br>-
2009,30.0,Doctor With Car<br>-Police Boat<br>-Collectible Display Set 4 - San Diego Comic-Con 2009 Exclusive,Sets:<br>-
1969,17.0,12 doors and 5 hinges,"Set: "
1998,104.0,"Legoland California Truck, Limited Edition","Set: "
2005,365.0,TTX Intermodal Double-Stack Car,"Set: "
2006,112.0,"Fire Spinner 360<br>-Lord Vladek<br>-Golf Bag, Balls & Clubs (Legoland California)",Sets:<br>-
2011,135.0,World Grand Prix Racing Rivalry,"Set: "
2014,689.0,Nindroid MechDragon,"Set: "
1998,314.0,Mag Wheel Master,"Set: "
2008,114.0,Indiana Jones Brickmaster Pack - San Diego Comic-Con 2008 Exclusive,"Set: "
2001,340.0,C-3PO™,"Set: "
2015,105.0,Republic Gunship<br>-Geonosis Troopers,Sets:<br>-
1998,950.0,Large Bulk Bucket,"Set: "
1986,280.0,Go-Cart,"Set: "
2001,20.0,"Camera Car<br>-Camera Cart (Kabaya Promotional)<br>-1 x 4 x 5 Black Window Frame with Blue Pane<br>-Baby Dimetrodon (Polybag)<br>-Baby Dimetrodon<br>-1 x 4 x 5 Black Window Frames, Transparent Blue Panes",Sets:<br>-
2011,208.0,Burj Khalifa,"Set: "
1982,98.0,Fire Copter 1,"Set: "
1985,148.0,Crane Wagon,"Set: "
1992,27.0,"Battle Cove<br>-Battery Motor, 9V",Sets:<br>-
2013,295.0,Wakz' Pack Tracker<br>-Homing Spider Droid,Sets:<br>-
2013,411.0,Razar’s CHI Raider,"Set: "
1999,52.0,Lightsaber Duel<br>-Medium set of Soft Bricks,Sets:<br>-
2008,134.0,Letters Set,"Set: "
2011,101.0,Draida Bay,"Set: "
2013,5.0,"Zoo friends<br>-BR LEGO Minifigure<br>-LEGO Store Employee<br>-Jor-El<br>-Advent Calendar 2013, City (Day  1)<br>-Chicken Suit Guy - Complete Set<br>-Baseball Fielder - Complete Set<br>-Mr. Gold - Complete Set<br>-Medusa - Complete Set<br>-Gingerbread Man - Complete Set<br>-Yeti - Complete Set<br>-Advent Calendar 2013, Star Wars (Day 13) - Battle Droid<br>-LEGO® Star Wars™ Stormtrooper™ Magnet",Sets:<br>-
2016,203.0,Sky Shark,"Set: "
1996,96.0,Crystal Crawler,"Set: "
2006,613.0,Motion Power,"Set: "
1984,88.0,Backhoe,"Set: "
1967,364.0,Starter Train Set with Motor,"Set: "
2009,590.0,Snow Groomer,"Set: "
2007,243.0,AT-ST,"Set: "
1980,242.0,Auto Engines<br>-Auto Engines,Sets:<br>-
2000,538.0,King Leo's Castle,"Set: "
1975,515.0,Harbour Scene,"Set: "
2009,277.0,Lunar Command,"Set: "
1996,64.0,Toggle Joints & Connectors,"Set: "
1980,24.0,Trees and Flowers<br>-Remote Controlled Signal 12v,Sets:<br>-
1997,382.0,Train Cars,"Set: "
2016,266.0,Black Panther Pursuit,"Set: "
2012,43.0,Monthly Mini Model Build February 2012 - Hockey Player,"Set: "
1981,420.0,Public Works Center,"Set: "
2005,133.0,Community Workers,"Set: "
2001,180.0,The Chamber of the Winged Keys,"Set: "
2002,34.0,Gray Fences<br>-LEGO Express,Sets:<br>-
1995,252.0,Large Freestyle Bucket,"Set: "
2007,263.0,Night Crusher,"Set: "
2015,608.0,Blue Power Jet,"Set: "
2012,12.0,"Advent Calendar 2012, Friends (Day 3) - Street Light with Garland<br>-LEGO Store Grand Re-Opening Exclusive Set (Colorado Mills, Denver, CO)<br>-Zoo Train<br>-LEGO Store Grand Opening Exclusive Set, Manchester, UK",Sets:<br>-
1987,350.0,TECHNIC Chainlinks,"Set: "
1993,156.0,Dragon Defender,"Set: "
1999,335.0,Emperor's Stronghold,"Set: "
2005,201.0,Large Make and Create Bucket with Special LEGO Bonus Bricks (Bonus box and its contents only),"Set: "
1987,78.0,Turbo Prop I,"Set: "
2012,26.0,Creative Sorter<br>-Lloyd Garmadon,Sets:<br>-
2013,790.0,AT-TE,"Set: "
2010,361.0,Undersea Explorer,"Set: "
1987,15.0,"Propellers, Wheels, Rotor Unit","Set: "
1986,284.0,Off-Road 4x4,"Set: "
2006,40.0,Sir Adric,"Set: "
2016,770.0,King Pig's Castle,"Set: "
2001,30.0,Worker Robot<br>-Res-Q Wrecker<br>-Fire Response SUV<br>-Worker Robot<br>-Onua,Sets:<br>-
2011,28.0,Furno 3.0<br>-Exclusive Weapon Training Set - Limited Edition,Sets:<br>-
2016,536.0,What Am I?,"Set: "
1990,550.0,International Jetport,"Set: "
2015,21.0,Picnic Set<br>-Guitar And Stage<br>-Star Destroyer and TIE Fighter foil pack,Sets:<br>-
2011,38.0,Holiday Ornament with Green Bricks,"Set: "
1998,367.0,Spider Slayer<br>-Cyber Strikers<br>-Spyder Slayer,Sets:<br>-
2011,232.0,Fairytale and Historic Minifigures,"Set: "
1990,423.0,Build-N-Store Chest,"Set: "
1961,18.0,1 x 4 x 2 Window in Frame,"Set: "
2012,44.0,{Yellow Cab}<br>-Iron Man<br>-Captain America<br>-Thornraxx,Sets:<br>-
1983,569.0,Freight Steam Train,"Set: "
2010,329.0,Gator Swamp,"Set: "
2008,215.0,Ramboll Oil Platform,"Set: "
1993,45.0,Trees and Fences,"Set: "
2000,120.0,Arctic Expedition,"Set: "
1999,318.0,River Expedition,"Set: "
2007,921.0,King's Castle Siege,"Set: "
2009,117.0,Fire Fighter Building Set,"Set: "
2011,16.0,Collectable Minifigures - LEGO Minifigures Series 3 - Complete<br>-Collectable Minifigures - LEGO Minifigures Series 4 - Complete<br>-Collectable Minifigures - LEGO Minifigures Series 5 - Complete,Sets:<br>-
1999,572.0,Crane Truck,"Set: "
2002,263.0,Gringott's Bank,"Set: "
2007,34.0,Brick Box<br>-Lime/Black Racer,Sets:<br>-
2005,14.0,Blooms & Butterflies<br>-Shells & Starfish<br>-Sports & Stars,Sets:<br>-
2011,6.0,Hero Factory 2.0 Collection<br>-Hero Factory Accessories<br>-Advent Calendar 2011 City (Day 10) Camp Fire and Fishing Pole<br>-Advent Calendar 2011 City (Day  1) Robber with Snowball<br>-Advent Calendar 2011 City (Day 21) Sled with Crate<br>-Advent Calendar 2011 Star Wars (Day 11) - Battle Droid Pilot<br>-I Love Tokyo Magnet [Male]<br>-Copenhagen LEGO Store Magnet [Male]<br>-Tennis Player - Complete Set<br>-Gorilla Suit Guy - Complete Set<br>-Space Alien - Complete Set<br>-Baseball Player - Complete Set<br>-Tribal Chief - Complete Set<br>-Samurai Warrior - Complete Set<br>-Sumo Wrestler - Complete Set<br>-Sailor - Complete Set<br>-Werewolf - Complete Set<br>-Hazmat Guy - Complete Set<br>-Crazy Scientist - Complete Set<br>-Kimono Girl - Complete Set<br>-Punk Rocker - Complete Set<br>-Surfer Girl - Complete Set<br>-Fitness Instructor - Complete Set<br>-Detective - Complete Set<br>-Egyptian Queen - Complete Set<br>-Snowboarder Guy - Complete Set<br>-Royal Guard - Complete Set<br>-Lizard Man - Complete Set<br>-Lumberjack - Complete Set<br>-Small Clown - Complete Set,Sets:<br>-
1966,150.0,2 x 3 Bricks (System),"Set: "
2015,483.0,Medium Creative Brick Box,"Set: "
2003,549.0,Sea Riders,"Set: "
2000,83.0,Pelican Sculpture (Legoland California),"Set: "
1985,304.0,Solar Power Transporter,"Set: "
1950,24.0,Automatic Binding Bricks Small Brick Set (Lego Mursten),"Set: "
1996,288.0,Desert Ranger,"Set: "
2010,297.0,Le Fleuriste Collector Vase - Happy,"Set: "
2014,95.0,Deluxe Box of Fun<br>-AAT,Sets:<br>-
2005,986.0,Vladek's Dark Fortress,"Set: "
1984,21.0,Gear Wheel Assortment<br>-Surface Rover,Sets:<br>-
1986,54.0,Siege Cart,"Set: "
2008,444.0,Coast Guard Patrol Boat and Tower,"Set: "
2011,138.0,Imperial V-wing Starfighter<br>-Lego Brickmaster City (Hardcover),Sets:<br>-
2013,4.0,"Advent Calendar 2013, Friends (Day  1) - Stephanie<br>-Advent Calendar 2013, Friends (Day 19) - Flame<br>-Advent Calendar 2013, Friends (Day  4) - Lily, Christmas Outfit<br>-Clone Trooper Lieutenant<br>-Advent Calendar 2013, City (Day  9)<br>-Advent Calendar 2013, Star Wars (Day 10) - Clone Trooper<br>-Advent Calendar 2013, Star Wars (Day 18) - Scout Trooper<br>-Advent Calendar 2013, Star Wars (Day  1) - R5-F7<br>-Advent Calendar 2013, Star Wars (Day 22) - Young Boba Fett<br>-Advent Calendar 2013, Star Wars (Day  6) - Endor Rebel Trooper<br>-LEGO® Legends of Chima™ Cragger Key Chain",Sets:<br>-
2003,827.0,Space Shuttle Discovery,"Set: "
1989,7.0,Seats and Windscreens,"Set: "
1987,472.0,Technic Control Center,"Set: "
1992,126.0,Assortment of Beams,"Set: "
2000,205.0,Island Hopper<br>-Duel Bikes,Sets:<br>-
2015,97.0,LEGO® DIMENSIONS® NINJAGO™ Team Pack<br>-Snowspeeder,Sets:<br>-
2007,143.0,Sky Guardian,"Set: "
1997,25.0,Formula 1 Racing Car,"Set: "
2006,194.0,The Batboat: Hunt for Killer Croc,"Set: "
2013,1583.0,4 x 4 Crawler Exclusive Edition &quot;BOSS Crawler&quot; [Co-Creation Model],"Set: "
2014,70.0,Volectro<br>-Kraw<br>-Scorpi<br>-Wizwuz,Sets:<br>-
2003,56.0,TECHNIC Beams<br>-NHL Action Set with Stickers,Sets:<br>-
1987,29.0,Galaxy Trekkor,"Set: "
2014,1368.0,Space Challenge Set,"Set: "
2008,19.0,Troll Warrior,"Set: "
2011,1253.0,Millennium Falcon,"Set: "
2002,135.0,RC-Nitro Flash,"Set: "
1989,41.0,Catherine Cat's Fun Park<br>-Laser Ranger,Sets:<br>-
2015,338.0,Bat Pod,"Set: "
2016,67.0,Splasho<br>-Tuth<br>-Uxar Creature of Jungle<br>-Piggy Car Escape,Sets:<br>-
2011,466.0,The London Escape,"Set: "
1991,56.0,Flame Chaser,"Set: "
2014,152.0,Large Farm<br>-Batman Classic TV Series Batmobile,Sets:<br>-
1998,896.0,CyberMaster,"Set: "
1995,167.0,Crystal Explorer Sub,"Set: "
1999,179.0,Naboo Fighter,"Set: "
2014,18.0,"Toddler Build and Boat Fun<br>-Advent Calendar 2014, Friends (Day 23) - Christmas Tree<br>-Bracelets<br>-D2C Minifigure Retro Set 2014<br>-Advent Calendar 2014 City (Day 7) Little Shop<br>-Advent Calendar 2014 Star Wars (Day 3) - Republic Cannon<br>-Worriz",Sets:<br>-
