year,pieces,descr,set
2008,834.0,FIRST LEGO League Challenge 2008 - Climate Connections,"Set: "
1978,441.0,Town Square,"Set: "
1993,350.0,Aerial Acrobats,"Set: "
1985,516.0,Freight Train,"Set: "
2012,96.0,Patrol Car<br>-Wild Animals Set,Sets:<br>-
2003,2846.0,Lego Mosaic Dino,"Set: "
2003,130.0,Bushes,"Set: "
2005,46.0,Christmas Tree Ornament<br>-F6 Truck,Sets:<br>-
2007,76.0,Mini Flyers,"Set: "
2011,743.0,Big Bentley Bust Out,"Set: "
2009,367.0,Helicopter Transporter,"Set: "
2015,141.0,Imperial Troop Transport,"Set: "
2001,62.0,Assorted Blue Bricks,"Set: "
1968,117.0,Small Train Set,"Set: "
1998,227.0,Forklift,"Set: "
2001,92.0,Aqua Res-Q Super Station,"Set: "
1969,5.0,Automatic Right Electric Switch<br>-Automatic Left Electric Switch<br>-5 Turntables,Sets:<br>-
2003,136.0,Chromosomes - Student Set,"Set: "
2006,22.0,Black and Red Racer<br>-Glider<br>-Takeshi Walker 2<br>-Gold Good Guy - looking Right (Duracell 8 pack AA) {Turaga Lhikan}<br>-Gold Good Guy - looking Left (Duracell 12 pack AA) {Turaga Lhikan}<br>-Gold Good Guy - looking Right (Duracell 12 pack AA) {Turaga Lhikan}<br>-Advent Calendar 2006 City (Day 11) Level Crossing and Signal<br>-Balta,Sets:<br>-
1985,32.0,Red/Black Plates<br>-Crater Crawler,Sets:<br>-
2000,447.0,Steven Spielberg Moviemaker Set,"Set: "
1980,495.0,Town Square - Castle Scene,"Set: "
1999,72.0,Pontoon Plane,"Set: "
2008,3807.0,Death Star,"Set: "
2014,295.0,Mars Science Laboratory Curiosity Rover,"Set: "
1964,253.0,Train,"Set: "
2014,274.0,Cinderella’s Dream Carriage,"Set: "
